"Darcy velocity [m/s]:0","Darcy velocity [m/s]:1","Darcy velocity [m/s]:2","Points:0","Points:1","Points:2"
9.4235e-07,1.8719e-07,3.0461e-07,8000,-2558.3,-4282
9.4235e-07,1.8719e-07,3.0461e-07,8000,-2558.3,-4282
9.4235e-07,1.8719e-07,3.0461e-07,8000,-2558.3,-4282
1.1308e-07,5.0406e-08,-7.4211e-09,8000,-3185.7,-4895.1
7.6869e-08,3.7157e-08,-4.2946e-10,8000,-3259.6,-5000
1.0395e-07,2.6208e-08,1.0878e-08,8000,-3129.1,-5000
1.9744e-07,-1.9234e-07,2.6639e-08,8000,-1853.6,-3250.1
1.4455e-07,-1.4765e-07,1.3968e-08,8000,-1820.1,-3332.4
1.9744e-07,-1.9234e-07,2.6639e-08,8000,-1853.6,-3250.1
1.1308e-07,5.0406e-08,-7.4211e-09,8000,-3185.7,-4895.1
1.5261e-07,2.7955e-08,2.5011e-08,8000,-3064.4,-4721.6
1.2207e-07,2.6505e-08,2.6487e-08,8000,-3283.4,-4694.6
7.3176e-07,5.8243e-07,1.2276e-07,8000,-2803.8,-3220.6
7.3176e-07,5.8243e-07,1.2276e-07,8000,-2803.8,-3220.6
7.3176e-07,5.8243e-07,1.2276e-07,8000,-2803.8,-3220.6
4.6667e-07,6.8204e-08,-1.1826e-07,8000,-3062.1,-3743.6
4.6667e-07,6.8204e-08,-1.1826e-07,8000,-3062.1,-3743.6
4.6667e-07,6.8204e-08,-1.1826e-07,8000,-3062.1,-3743.6
2.3356e-07,1.3217e-07,5.7401e-08,8000,-2907.2,-4559.9
2.3356e-07,1.3217e-07,5.7401e-08,8000,-2907.2,-4559.9
2.3356e-07,1.3217e-07,5.7401e-08,8000,-2907.2,-4559.9
3.725e-07,-3.7564e-08,8.719e-09,8000,-2777.2,-4304.7
3.725e-07,-3.7564e-08,8.719e-09,8000,-2777.2,-4304.7
3.725e-07,-3.7564e-08,8.719e-09,8000,-2777.2,-4304.7
5.3135e-07,1.7604e-07,1.7154e-07,8000,-2937.1,-3500.8
7.3176e-07,5.8243e-07,1.2276e-07,8000,-2803.8,-3220.6
5.3135e-07,1.7604e-07,1.7154e-07,8000,-2937.1,-3500.8
5.3135e-07,1.7604e-07,1.7154e-07,8000,-2937.1,-3500.8
7.3176e-07,5.8243e-07,1.2276e-07,8000,-2803.8,-3220.6
7.3176e-07,5.8243e-07,1.2276e-07,8000,-2803.8,-3220.6
5.9059e-08,-1.3997e-07,-1.7268e-08,8000,-1653.8,-3791.8
5.9059e-08,-1.3997e-07,-1.7268e-08,8000,-1653.8,-3791.8
5.9059e-08,-1.3997e-07,-1.7268e-08,8000,-1653.8,-3791.8
1.9744e-07,-1.9234e-07,2.6639e-08,8000,-1853.6,-3250.1
1.9744e-07,-1.9234e-07,2.6639e-08,8000,-1853.6,-3250.1
1.9744e-07,-1.9234e-07,2.6639e-08,8000,-1853.6,-3250.1
3.725e-07,-3.7564e-08,8.719e-09,8000,-2777.2,-4304.7
3.725e-07,-3.7564e-08,8.719e-09,8000,-2777.2,-4304.7
3.725e-07,-3.7564e-08,8.719e-09,8000,-2777.2,-4304.7
2.5754e-06,-7.5423e-07,2.146e-07,8000,-2560.9,-3773.3
2.5754e-06,-7.5423e-07,2.146e-07,8000,-2560.9,-3773.3
2.5754e-06,-7.5423e-07,2.146e-07,8000,-2560.9,-3773.3
1.9744e-07,-1.9234e-07,2.6639e-08,8000,-1853.6,-3250.1
1.4455e-07,-1.4765e-07,1.3968e-08,8000,-1820.1,-3332.4
1.9744e-07,-1.9234e-07,2.6639e-08,8000,-1853.6,-3250.1
4.6667e-07,6.8204e-08,-1.1826e-07,8000,-3062.1,-3743.6
4.6667e-07,6.8204e-08,-1.1826e-07,8000,-3062.1,-3743.6
4.6667e-07,6.8204e-08,-1.1826e-07,8000,-3062.1,-3743.6
5.3135e-07,1.7604e-07,1.7154e-07,8000,-2937.1,-3500.8
5.3135e-07,1.7604e-07,1.7154e-07,8000,-2937.1,-3500.8
1.247e-06,6.3433e-07,8.7418e-08,8000,-2802.9,-3778
1.247e-06,6.3433e-07,8.7418e-08,8000,-2802.9,-3778
5.3135e-07,1.7604e-07,1.7154e-07,8000,-2937.1,-3500.8
1.247e-06,6.3433e-07,8.7418e-08,8000,-2802.9,-3778
8.5487e-07,-1.9115e-07,1.9961e-07,8000,-1691.9,-2568.1
8.5487e-07,-1.9115e-07,1.9961e-07,8000,-1691.9,-2568.1
8.5487e-07,-1.9115e-07,1.9961e-07,8000,-1691.9,-2568.1
1.377e-06,1.9922e-07,6.8589e-08,8000,-2666.3,-4053.3
2.5754e-06,-7.5423e-07,2.146e-07,8000,-2560.9,-3773.3
1.377e-06,1.9922e-07,6.8589e-08,8000,-2666.3,-4053.3
1.377e-06,1.9922e-07,6.8589e-08,8000,-2666.3,-4053.3
2.5754e-06,-7.5423e-07,2.146e-07,8000,-2560.9,-3773.3
2.5754e-06,-7.5423e-07,2.146e-07,8000,-2560.9,-3773.3
-7.4058e-08,-1.5964e-08,1.0586e-07,8000,-1647.1,-4114.8
-7.4058e-08,-1.5964e-08,1.0586e-07,8000,-1647.1,-4114.8
-7.4058e-08,-1.5964e-08,1.0586e-07,8000,-1647.1,-4114.8
